A	A's,a's
manicurist	manicurists
manifest	manifests,manifesting,manifested
manifestation	manifestations
manifesto	manifestos,manifestoes
manipulate	manipulates,manipulating,manipulated
manipulator	manipulators
manly	manlier,manliest
mannequin	mannequins
manner	manners
mannerism	mannerisms
manoeuvre	manoeuvres,manoeuvring,manoeuvred
manor	manors
manor house	manor houses
manse	manses
manservant	manservants
mansion	mansions
mantel	mantels
mantelpiece	mantelpieces
mantelshelf	mantelshelves
mantle	mantles
mantra	mantras
manual	manuals
manufacture	manufactures,manufacturing,manufactured
manufacturer	manufacturers
manure	manures
manuscript	manuscripts
Maori	Maoris
map	maps,mapping,mapped
maple	maples
mar	mars,marring,marred
marathon	marathons
marauder	marauders
marble	marbles
march	marches,marching,marched
March	Marches
marching band	marching bands
marchioness	marchionesses
march-past	march-pasts
mare	mares
margarine	margarines
margin	margins
marginal	marginals
marginalize	marginalizes,marginalizing,marginalized
marigold	marigolds
marina	marinas
marinade	marinades,marinading,marinaded
marinate	marinates,marinating,marinated
marine	marines
mariner	mariners
marionette	marionettes
mark	marks,marking,marked
markdown	markdowns
marker	markers
market	markets,marketing,marketed
marketeer	marketeers
marketer	marketers
market garden	market gardens
market leader	market leaders
marketplace	marketplaces
market share	market shares
market test	market tests,market testing,market tested
market town	market towns
marking	markings
marksman	marksmen
mark-up	mark-ups
marmalade	marmalades
marmoset	marmosets
maroon	maroons,marooning,marooned
marque	marques
marquee	marquees
marquis	marquises
marriage	marriages
marrow	marrows
marrow bone	marrow bones
marry	marries,marrying,married
marsh	marshes
marshal	marshals,marshalling,marshalled
marshland	marshlands
marshmallow	marshmallows
marsupial	marsupials
mart	marts
martial art	martial arts
Martian	Martians
martin	martins
martinet	martinets
martyr	martyrs,martyring,martyred
marvel	marvels,marvelling,marvelled
Marxist	Marxists
mascara	mascaras
mascot	mascots
masculinize	masculinizes,masculinizing,masculinized
mash	mashes,mashing,mashed
mask	masks,masking,masked
masochism	masochists
mason	masons
masquerade	masquerades,masquerading,masqueraded
mass	masses,massing,massed
massacre	massacres,massacring,massacred
massage	massages,massaging,massaged
massage parlour	massage parlours
masseur	masseurs
masseuse	masseuses
massif	massifs
mass market	mass markets
mass murder	mass murders
mass murderer	mass murderers
mass noun	mass nouns
mass-produce	mass-produces,mass-producing,mass-produced
mast	masts
mastectomy	mastectomies
master	masters,mastering,mastered
master bedroom	master bedrooms
masterclass	masterclasses
master key	master keys
mastermind	masterminds,masterminding,masterminded
master of ceremonies	masters of ceremonies
masterpiece	masterpieces
master plan	master plans
master's degree	master's degrees
masterstroke	masterstrokes
masterwork	masterworks
masthead	mastheads
masticate	masticates,masticating,masticated
mastiff	mastiffs
masturbate	masturbates,masturbating,masturbated
mat	mats
matador	matadors
match	matches,matching,matched
matchbox	matchboxes
matchmaker	matchmakers
match point	match points
matchstick	matchsticks
mate	mates,mating,mated
material	materials
materialism	materialists
materialize	materializes,materializing,materialized
mathematician	mathematicians
matinee	matinees
matriarch	matriarchs
matriarchy	matriarchies
matriculate	matriculates,matriculating,matriculated
matrix	matrices
matron	matrons
matter	matters,mattering,mattered
mattress	mattresses
mature	matures,maturing,matured,maturer,maturest
mature student	mature students
maturity	maturities
maul	mauls,mauling,mauled
Mauritian	Mauritians
mausoleum	mausoleums
mauve	mauves
maverick	mavericks
maw	maws
maxim	maxims
maximize	maximizes,maximizing,maximized
May	Mays
Mayday	Maydays
mayfly	mayflies
mayor	mayors
mayoress	mayoresses
maze	mazes
MBA	MBAs
MBE	MBEs
MC	MCs
MD	MDs
meadow	meadows
meal	meals
mealtime	mealtimes
mean	means,meaning,meant
mean	meaner,meanest
meander	meanders,meandering,meandered
meaning	meanings
means test	means tests
measure	measures,measuring,measured
measurement	measurements
meat	meats
meatball	meatballs
meat grinder	meat grinders
meat loaf	meat loaves
meaty	meatier,meatiest
mecca	meccas
mechanic	mechanics
mechanism	mechanisms
mechanize	mechanizes,mechanizing,mechanized
medal	medals
medallion	medallions
medallist	medallists
meddle	meddles,meddling,meddled
media circus	media circuses
median	medians
median strip	median strips
mediate	mediates,mediating,mediated
medic	medics
medical	medicals
medical examiner	medical examiners
medication	medications
medicine	medicines
meditate	meditates,meditating,meditated
meditation	meditations
medium	mediums,media
medley	medleys
meek	meeker,meekest
meet	meets,meeting,met
meeting	meetings
meeting house	meeting houses
meeting place	meeting places
megabyte	megabytes
megahertz	megahertz
megalomaniac	megalomaniacs
megamall	megamalls
megaphone	megaphones
megaton	megatons
megawatt	megawatts
melancholic	melancholics
melange	melanges
melanoma	melanomas
melee	melees
mellow	mellower,mellowest,mellows,mellowing,mellowed
melodrama	melodramas
melody	melodies
melon	melons
melt	melts,melting,melted
meltdown	meltdowns
melting point	melting points
melting pot	melting pots
member	members
Member of Congress	Members of Congress
Member of Parliament	Members of Parliament
membership	memberships
membrane	membranes
memento	mementos,mementoes
memo	memos
memorandum	memoranda,memorandums
memorial	memorials
memorialize	memorializes,memorializing,memorialized
memorize	memorizes,memorizing,memorized
memory	memories
memory card	memory cards
memory chip	memory chips
memsahib	memsahibs
menace	menaces,menacing,menaced
menage a trois	menages a trois
menagerie	menageries
mend	mends,mending,mended
men's room	men's rooms
menstruate	menstruates,menstruating,menstruated
mental age	mental ages
mental hospital	mental hospitals
mentality	mentalities
mention	mentions,mentioning,mentioned
mentor	mentors,mentoring,mentored
menu	menus
MEP	MEPs
mercenary	mercenaries
merchandiser	merchandisers
merchant	merchants
merchant bank	merchant banks
merchant banker	merchant bankers
mercy	mercies
mercy killing	mercy killings
mere	merest
merge	merges,merging,merged
merger	mergers
meridian	meridians
meringue	meringues
merit	merits,meriting,merited
meritocracy	meritocracies
mermaid	mermaids
merry	merrier,merriest
merry-go-round	merry-go-rounds
mesa	mesas
mesh	meshes,meshing,meshed
mesmerize	mesmerizes,mesmerizing,mesmerized
mess	messes,messing,messed
message	messages,messaging,messaged
message board	message boards
messenger	messengers
messenger boy	messenger boys
mess hall	mess halls
messiah	messiahs
messy	messier,messiest
metabolism	metabolisms
metabolize	metabolizes,metabolizing,metabolized
metal	metals
metalanguage	metalanguages
metallurgist	metallurgists
metamorphose	metamorphoses,metamorphosing,metamorphosed
metamorphosis	metamorphoses
metaphor	metaphors
mete	metes,meting,meted
meteor	meteors
meteorite	meteorites
meteorology	meteorologists
meter	meters,metering,metered
method	methods
Methodist	Methodists
methodology	methodologies
metier	metiers
metre	metres
metric ton	metric tons
metro	metros
metronome	metronomes
metropolis	metropolises
mew	mews,mewing,mewed
mews	mews
Mexican	Mexicans
Mexican stand-off	Mexican stand-offs
Mexican wave	Mexican waves
mezzanine	mezzanines
mezzo	mezzos
mezzo-soprano	mezzo-sopranos
miaow	miaows,miaowing,miaowed
miasma	miasmas
mic.	mics
mica	micas
microbe	microbes
microbiology	microbiologists
micro-brewery	micro-breweries
microchip	microchips
microcomputer	microcomputers
microcosm	microcosms
microfibre	microfibres
microfiche	microfiches
microfilm	microfilms
micro-organism	micro-organisms
microphone	microphones
microprocessor	microprocessors
microscope	microscopes
microsecond	microseconds
microwave	microwaves,microwaving,microwaved
middle	middles
middle class	middle classes
middleman	middlemen
middle name	middle names
middle school	middle schools
midge	midges
midget	midgets
midlife crisis	midlife crises
midriff	midriffs
midwife	midwives
mighty	mightier,mightiest
migraine	migraines
migrant	migrants
migrate	migrates,migrating,migrated
mike	mikes
mild	milder,mildest
mile	miles
mileage	mileages
milestone	milestones
milieu	milieux,milieus
militant	militants
militarist	militarists
military	militaries
military policeman	military policemen
militate	militates,militating,militated
militia	militias
militiaman	militiamen
milk	milks,milking,milked
milk float	milk floats
milkmaid	milkmaids
milkman	milkmen
milk product	milk products
milk round	milk rounds
milkshake	milkshakes
milk tooth	milk teeth
milky	milkier,milkiest
mill	mills,milling,milled
millennium	millenniums,millennia
miller	millers
millet	millets
milligram	milligrams
millilitre	millilitres
millimetre	millimetres
milliner	milliners
million	millions
millionaire	millionaires
millionairess	millionairesses
millionth	millionths
millipede	millipedes
millisecond	milliseconds
millstone	millstones
mime	mimes,miming,mimed
mimic	mimics,mimicking,mimicked
minaret	minarets
mince	minces,mincing,minced
mince pie	mince pies
mincer	mincers
mind	minds
mind	minds,minding,minded
minder	minders
mind-set	mind-sets
mine	mines,mining,mined
minefield	minefields
miner	miners
mineral	minerals
mineral water	mineral waters
minesweeper	minesweepers
mingle	mingles,mingling,mingled
mini	minis
miniature	miniatures
miniaturize	miniaturizes,miniaturizing,miniaturized
minibar	minibars
mini-break	mini-breaks
minibus	minibuses
minicab	minicabs
minicam	minicams
minidisc	minidiscs
minidish	minidishes
minim	minims
minimalist	minimalists
minimize	minimizes,minimizing,minimized
minimum security prison	minimum security prisons
minion	minions
mini-series	mini-series
mini-skirt	mini-skirts
minister	ministers,ministering,ministered
ministry	ministries
mink	minks,mink
minnow	minnows
minor	minors,minoring,minored
minority	minorities
minstrel	minstrels
mint	mints,minting,minted
minuet	minuets
minus	minuses
minus sign	minus signs
minute	minutes,minuting,minuted
minute	minutest
miracle	miracles
miracle worker	miracle workers
mirage	mirages
mirror	mirrors,mirroring,mirrored
mirror image	mirror images
mirror site	mirror sites
misadventure	misadventures
misanthrope	misanthropes
misapplication	misapplications
misapply	misapplies,misapplying,misapplied
misapprehension	misapprehensions
misappropriate	misappropriates,misappropriating,misappropriated
misbehave	misbehaves,misbehaving,misbehaved
miscalculate	miscalculates,miscalculating,miscalculated
miscarriage	miscarriages
miscarriage of justice	miscarriages of justice
miscarry	miscarries,miscarrying,miscarried
miscellany	miscellanies
mischief-maker	mischief-makers
misconception	misconceptions
misconstrue	misconstrues,misconstruing,misconstrued
miscreant	miscreants
misdeed	misdeeds
misdemeanour	misdemeanours
misdirect	misdirects,misdirecting,misdirected
miser	misers
misery	miseries
misfire	misfires,misfiring,misfired
misfit	misfits
misfortune	misfortunes
misgiving	misgivings
mishandle	mishandles,mishandling,mishandled
mishap	mishaps
mishear	mishears,mishearing,misheard
misinform	misinforms,misinforming,misinformed
misinterpret	misinterprets,misinterpreting,misinterpreted
misjudge	misjudges,misjudging,misjudged
misjudgment	misjudgments
miskick	miskicks,miskicking,miskicked
mislay	mislays,mislaying,mislaid
mislead	misleads,misleading,misled
mismanage	mismanages,mismanaging,mismanaged
mismatch	mismatches,mismatching,mismatched
misnomer	misnomers
misogynist	misogynists
misplace	misplaces,misplacing,misplaced
misprint	misprints
mispronounce	mispronounces,mispronouncing,mispronounced
misquote	misquotes,misquoting,misquoted
misread	misreads,misreading
misremember	misremembers,misremembering,misremembered
misrepresent	misrepresents,misrepresenting,misrepresented
Miss	Misses
miss	misses,missing,missed
mis-sell	mis-sells,mis-selling,mis-sold
missile	missiles
missing link	missing links
missing person	missing persons
mission	missions
missionary	missionaries
mission statement	mission statements
missive	missives
misspell	misspells,misspelling,misspelled,misspelt
misspend	misspends,misspending,misspent
misstate	misstates,misstating,misstated
misstatement	misstatements
mist	mists,misting,misted
mistake	mistakes,mistaking,mistook,mistaken
mistime	mistimes,mistiming,mistimed
mistreat	mistreats,mistreating,mistreated
mistress	mistresses
mistrial	mistrials
mistrust	mistrusts,mistrusting,mistrusted
misunderstand	misunderstands,misunderstanding,misunderstood
misunderstanding	misunderstandings
misuse	misuses,misusing,misused
mite	mites
mitigate	mitigates,mitigating,mitigated
mitt	mitts
mitten	mittens
mix	mixes,mixing,mixed
mixed economy	mixed economies
mixed marriage	mixed marriages
mixer	mixers
mixing bowl	mixing bowls
mixture	mixtures
mix-up	mix-ups
MLA	MLAs
mnemonic	mnemonics
moan	moans,moaning,moaned
moaner	moaners
moat	moats
mob	mobs,mobbing,mobbed
mobile	mobiles
mobile home	mobile homes
mobile phone	mobile phones
mobilize	mobilizes,mobilizing,mobilized
mobster	mobsters
moccasin	moccasins
mock	mocks,mocking,mocked
mockingbird	mockingbirds
mock-up	mock-ups
mod	mods
modal	modals
mode	modes
model	models,modelling,modelled
modeller	modellers
modem	modems
moderate	moderates,moderating,moderated
moderator	moderators
modernist	modernists
modernize	modernizes,modernizing,modernized
modernizer	modernizers
